week_start,day_of_week,member_casual,total_rides,avg_ride_length
2023-11-26,Friday,casual,1138,12.32
2023-11-26,Friday,member,3886,11.91
2023-11-26,Saturday,casual,2523,15.3
2023-11-26,Saturday,member,6127,12.25
2023-12-03,Sunday,casual,1443,13.91
2023-12-03,Sunday,member,4195,11.58
2023-12-03,Monday,casual,1638,12.72
2023-12-03,Monday,member,7387,11.71
2023-12-03,Tuesday,casual,1256,10.76
2023-12-03,Tuesday,member,5984,10.59
2023-12-03,Wednesday,casual,1813,11.84
2023-12-03,Wednesday,member,7818,10.81
2023-12-03,Thursday,casual,2500,14.37
2023-12-03,Thursday,member,9290,12.32
2023-12-03,Friday,casual,3184,16.87
2023-12-03,Friday,member,9054,11.74
2023-12-03,Saturday,casual,2929,19.73
2023-12-03,Saturday,member,6245,12
2023-12-10,Sunday,casual,1702,14.93
2023-12-10,Sunday,member,4126,11.82
2023-12-10,Monday,casual,1389,12.46
2023-12-10,Monday,member,6398,11.06
2023-12-10,Tuesday,casual,1477,12.07
2023-12-10,Tuesday,member,7260,10.56
2023-12-10,Wednesday,casual,1628,13.71
2023-12-10,Wednesday,member,7377,11.15
2023-12-10,Thursday,casual,2192,13.13
2023-12-10,Thursday,member,8095,11.4
2023-12-10,Friday,casual,2648,14.63
2023-12-10,Friday,member,7714,11.45
2023-12-10,Saturday,casual,1017,13.19
2023-12-10,Saturday,member,2642,11.43
2023-12-17,Sunday,casual,1633,16.32
2023-12-17,Sunday,member,4140,11.64
2023-12-17,Monday,casual,1024,12.12
2023-12-17,Monday,member,4999,10.15
2023-12-17,Tuesday,casual,1175,11.65
2023-12-17,Tuesday,member,5343,11.13
2023-12-17,Wednesday,casual,1627,15.74
2023-12-17,Wednesday,member,6399,11.18
2023-12-17,Thursday,casual,1764,14.52
2023-12-17,Thursday,member,6199,11.27
2023-12-17,Friday,casual,960,13.12
2023-12-17,Friday,member,3105,11.86
2023-12-17,Saturday,casual,1338,16.35
2023-12-17,Saturday,member,3150,12.65
2023-12-24,Sunday,casual,1348,25.41
2023-12-24,Sunday,member,2559,13.6
2023-12-24,Monday,casual,654,24.19
2023-12-24,Monday,member,1066,16.48
2023-12-24,Tuesday,casual,1091,19.32
2023-12-24,Tuesday,member,2936,12.14
2023-12-24,Wednesday,casual,1516,18
2023-12-24,Wednesday,member,4048,11.25
2023-12-24,Thursday,casual,726,20
2023-12-24,Thursday,member,2849,11.84
2023-12-24,Friday,casual,1070,15.62
2023-12-24,Friday,member,3432,11.74
2023-12-24,Saturday,casual,1347,17.1
2023-12-24,Saturday,member,3303,11.59
2023-12-31,Sunday,casual,869,22.64
2023-12-31,Sunday,member,1889,13.09
2023-12-31,Monday,casual,1086,22.12
2023-12-31,Monday,member,2279,12.43
2023-12-31,Tuesday,casual,1059,15.29
2023-12-31,Tuesday,member,4893,10.29
2023-12-31,Wednesday,casual,1238,13.62
2023-12-31,Wednesday,member,5629,10.84
2023-12-31,Thursday,casual,1403,15.09
2023-12-31,Thursday,member,6026,10.85
2023-12-31,Friday,casual,1439,13.17
2023-12-31,Friday,member,5353,10.78
2023-12-31,Saturday,casual,674,13.15
2023-12-31,Saturday,member,2602,12.54
2024-01-07,Sunday,casual,854,14.68
2024-01-07,Sunday,member,3205,11.07
2024-01-07,Monday,casual,1127,12.75
2024-01-07,Monday,member,6219,11.58
2024-01-07,Tuesday,casual,404,10.93
2024-01-07,Tuesday,member,2586,11.44
2024-01-07,Wednesday,casual,1025,11.39
2024-01-07,Wednesday,member,6196,10.52
2024-01-07,Thursday,casual,1273,11.13
2024-01-07,Thursday,member,6420,10.63
2024-01-07,Friday,casual,368,13.8
2024-01-07,Friday,member,1514,11.11
2024-01-07,Saturday,casual,292,11.78
2024-01-07,Saturday,member,1378,11.52
2024-01-14,Sunday,casual,72,19.79
2024-01-14,Sunday,member,438,11.33
2024-01-14,Monday,casual,51,17.06
2024-01-14,Monday,member,580,10.98
2024-01-14,Tuesday,casual,114,37.75
2024-01-14,Tuesday,member,845,28.1
2024-01-14,Wednesday,casual,316,37.1
2024-01-14,Wednesday,member,2175,33.95
2024-01-14,Thursday,casual,551,15.9
2024-01-14,Thursday,member,3420,14.87
2024-01-14,Friday,casual,325,17.6
2024-01-14,Friday,member,2032,13.44
2024-01-14,Saturday,casual,358,13.09
2024-01-14,Saturday,member,1694,15.24
2024-01-21,Sunday,casual,310,13.96
2024-01-21,Sunday,member,1482,15.22
2024-01-21,Monday,casual,507,12.53
2024-01-21,Monday,member,3465,12.76
2024-01-21,Tuesday,casual,536,13.04
2024-01-21,Tuesday,member,2995,14.3
2024-01-21,Wednesday,casual,577,12.44
2024-01-21,Wednesday,member,3850,10.46
2024-01-21,Thursday,casual,843,12.04
2024-01-21,Thursday,member,4685,11.28
2024-01-21,Friday,casual,764,11.99
2024-01-21,Friday,member,3565,12.98
2024-01-21,Saturday,casual,1017,16.88
2024-01-21,Saturday,member,3122,12.03
2024-01-28,Sunday,casual,962,15.5
2024-01-28,Sunday,member,3024,11.5
2024-01-28,Monday,casual,981,12.73
2024-01-28,Monday,member,5434,11.45
2024-01-28,Tuesday,casual,1061,14.57
2024-01-28,Tuesday,member,5965,12.2
2024-01-28,Wednesday,casual,1089,15.49
2024-01-28,Wednesday,member,6222,11.83
2024-01-28,Thursday,casual,1442,13.39
2024-01-28,Thursday,member,6629,12.28
2024-01-28,Friday,casual,1265,18.63
2024-01-28,Friday,member,4922,12.21
2024-01-28,Saturday,casual,1332,22.94
