ride_date,season,hour_of_day,member_casual,total_rides,avg_ride_length
2023-12-01,Winter,0,casual,44,11.59
2023-12-01,Winter,0,member,77,10
2023-12-01,Winter,1,casual,16,7.94
2023-12-01,Winter,1,member,31,39.45
2023-12-01,Winter,2,casual,15,7.27
2023-12-01,Winter,2,member,18,9.67
2023-12-01,Winter,3,casual,5,5.4
2023-12-01,Winter,3,member,18,10.06
2023-12-01,Winter,4,casual,3,15
2023-12-01,Winter,4,member,6,15.67
2023-12-01,Winter,5,casual,10,8.6
2023-12-01,Winter,5,member,32,10.16
2023-12-01,Winter,6,casual,19,6.37
2023-12-01,Winter,6,member,84,8.18
2023-12-01,Winter,7,casual,23,7.48
2023-12-01,Winter,7,member,126,10.87
2023-12-01,Winter,8,casual,32,10.25
2023-12-01,Winter,8,member,171,9.85
2023-12-01,Winter,9,casual,42,12.21
2023-12-01,Winter,9,member,144,9.3
2023-12-01,Winter,10,casual,31,9.68
2023-12-01,Winter,10,member,138,9.87
2023-12-01,Winter,11,casual,53,14
2023-12-01,Winter,11,member,211,12.55
2023-12-01,Winter,12,casual,78,13.86
2023-12-01,Winter,12,member,246,12.81
2023-12-01,Winter,13,casual,61,11.26
2023-12-01,Winter,13,member,252,10.34
2023-12-01,Winter,14,casual,75,10.68
2023-12-01,Winter,14,member,285,11.05
2023-12-01,Winter,15,casual,75,16.31
2023-12-01,Winter,15,member,282,11.99
2023-12-01,Winter,16,casual,91,13.12
2023-12-01,Winter,16,member,396,10.86
2023-12-01,Winter,17,casual,84,11.55
2023-12-01,Winter,17,member,326,12.77
2023-12-01,Winter,18,casual,103,11.12
2023-12-01,Winter,18,member,313,11.54
2023-12-01,Winter,19,casual,80,14.57
2023-12-01,Winter,19,member,239,13.56
2023-12-01,Winter,20,casual,52,11.04
2023-12-01,Winter,20,member,167,9.61
2023-12-01,Winter,21,casual,38,10.03
2023-12-01,Winter,21,member,139,23.51
2023-12-01,Winter,22,casual,46,11.43
2023-12-01,Winter,22,member,86,10.97
2023-12-01,Winter,23,casual,62,19.24
2023-12-01,Winter,23,member,99,9.99
2023-12-02,Winter,0,casual,67,11.61
2023-12-02,Winter,0,member,92,12.33
2023-12-02,Winter,1,casual,44,9.86
2023-12-02,Winter,1,member,80,10.05
2023-12-02,Winter,2,casual,43,21.47
2023-12-02,Winter,2,member,41,9.68
2023-12-02,Winter,3,casual,11,11.09
2023-12-02,Winter,3,member,15,11.07
2023-12-02,Winter,4,casual,13,8.62
2023-12-02,Winter,4,member,9,7.67
2023-12-02,Winter,5,casual,4,10
2023-12-02,Winter,5,member,27,14.26
2023-12-02,Winter,6,casual,14,7.71
2023-12-02,Winter,6,member,54,11.74
2023-12-02,Winter,7,casual,32,9.75
2023-12-02,Winter,7,member,128,11.52
2023-12-02,Winter,8,casual,74,11.8
2023-12-02,Winter,8,member,219,10.67
2023-12-02,Winter,9,casual,125,15.14
2023-12-02,Winter,9,member,324,11.29
2023-12-02,Winter,10,casual,143,16.49
2023-12-02,Winter,10,member,390,11.77
2023-12-02,Winter,11,casual,150,26.83
2023-12-02,Winter,11,member,491,11.37
2023-12-02,Winter,12,casual,190,17.32
2023-12-02,Winter,12,member,493,11.95
2023-12-02,Winter,13,casual,212,16.34
2023-12-02,Winter,13,member,488,11.66
2023-12-02,Winter,14,casual,211,17.98
2023-12-02,Winter,14,member,502,11.62
2023-12-02,Winter,15,casual,198,14.4
2023-12-02,Winter,15,member,492,13
2023-12-02,Winter,16,casual,183,12.91
2023-12-02,Winter,16,member,486,14.01
2023-12-02,Winter,17,casual,154,12.72
2023-12-02,Winter,17,member,414,12.06
2023-12-02,Winter,18,casual,157,14.23
2023-12-02,Winter,18,member,392,10.44
2023-12-02,Winter,19,casual,116,10.34
2023-12-02,Winter,19,member,279,11.84
2023-12-02,Winter,20,casual,98,17.87
2023-12-02,Winter,20,member,198,20.48
2023-12-02,Winter,21,casual,95,12.54
2023-12-02,Winter,21,member,177,11.99
2023-12-02,Winter,22,casual,76,15.42
2023-12-02,Winter,22,member,192,15.84
2023-12-02,Winter,23,casual,113,11.92
2023-12-02,Winter,23,member,144,11.15
2023-12-03,Winter,0,casual,103,16.96
2023-12-03,Winter,0,member,120,12.03
2023-12-03,Winter,1,casual,42,11.21
2023-12-03,Winter,1,member,65,8.51
2023-12-03,Winter,2,casual,10,9
2023-12-03,Winter,2,member,28,9.93
2023-12-03,Winter,3,casual,6,9
2023-12-03,Winter,3,member,20,8.95
2023-12-03,Winter,4,casual,9,10.22
2023-12-03,Winter,4,member,14,15.21
2023-12-03,Winter,5,casual,6,13.67
2023-12-03,Winter,5,member,10,14.9
2023-12-03,Winter,6,casual,13,7.77
2023-12-03,Winter,6,member,44,10.64
2023-12-03,Winter,7,casual,15,11
2023-12-03,Winter,7,member,62,9.24
2023-12-03,Winter,8,casual,15,13.87
2023-12-03,Winter,8,member,76,10.72
2023-12-03,Winter,9,casual,38,7.11
2023-12-03,Winter,9,member,120,10.32
2023-12-03,Winter,10,casual,74,13.15
2023-12-03,Winter,10,member,211,11.66
2023-12-03,Winter,11,casual,100,13.6
2023-12-03,Winter,11,member,333,11.36
2023-12-03,Winter,12,casual,119,14.53
2023-12-03,Winter,12,member,346,11.51
2023-12-03,Winter,13,casual,119,12.39
2023-12-03,Winter,13,member,362,10.33
2023-12-03,Winter,14,casual,133,15.73
2023-12-03,Winter,14,member,369,12.36
2023-12-03,Winter,15,casual,108,12.71
2023-12-03,Winter,15,member,388,12.89
2023-12-03,Winter,16,casual,139,17.16
2023-12-03,Winter,16,member,333,12.08
2023-12-03,Winter,17,casual,74,12.73
2023-12-03,Winter,17,member,319,15.18
2023-12-03,Winter,18,casual,66,9.32
2023-12-03,Winter,18,member,282,10.36
2023-12-03,Winter,19,casual,75,10.49
2023-12-03,Winter,19,member,196,10.37
2023-12-03,Winter,20,casual,52,13.19
2023-12-03,Winter,20,member,181,10.58
2023-12-03,Winter,21,casual,49,10.41
2023-12-03,Winter,21,member,149,11.45
2023-12-03,Winter,22,casual,41,35.56
2023-12-03,Winter,22,member,99,10.19
2023-12-03,Winter,23,casual,37,10.86
2023-12-03,Winter,23,member,68,10.15
2023-12-04,Winter,0,casual,16,17.44
2023-12-04,Winter,0,member,32,8.69
2023-12-04,Winter,1,casual,10,64.5
2023-12-04,Winter,1,member,24,10.96
2023-12-04,Winter,2,casual,5,110.6
2023-12-04,Winter,2,member,14,11
2023-12-04,Winter,3,casual,7,13.86
2023-12-04,Winter,3,member,10,9.1
2023-12-04,Winter,4,casual,5,10.8
2023-12-04,Winter,4,member,22,10.77
2023-12-04,Winter,5,casual,31,10.52
2023-12-04,Winter,5,member,95,8.56
2023-12-04,Winter,6,casual,35,7.14
2023-12-04,Winter,6,member,283,9.57
2023-12-04,Winter,7,casual,87,11.45
2023-12-04,Winter,7,member,509,9.79
2023-12-04,Winter,8,casual,99,11.44
2023-12-04,Winter,8,member,691,10.67
2023-12-04,Winter,9,casual,72,12.75
2023-12-04,Winter,9,member,340,9.71
2023-12-04,Winter,10,casual,70,10.2
