hour_of_day,member_casual,total_rides,avg_ride_length
0,casual,33666,19.08
0,member,31399,12.33
1,casual,22614,19.38
1,member,19185,12.61
2,casual,13912,18.78
2,member,10801,12.89
3,casual,7703,19.74
3,member,7364,12.85
4,casual,5977,17.14
4,member,8256,13.26
5,casual,11588,14.44
5,member,33693,11.61
6,casual,27372,14.57
6,member,102729,11.37
7,casual,51923,15.23
7,member,199723,12.04
8,casual,73748,16.29
8,member,254820,11.99
9,casual,74179,22.36
9,member,170643,12.21
10,casual,91582,26.6
10,member,150329,13.23
11,casual,116530,26.78
11,member,175503,13.28
12,casual,137820,25.72
12,member,200217,12.88
13,casual,143666,25.69
13,member,201223,12.94
14,casual,149647,25.16
14,member,203343,13.32
15,casual,165042,23.64
15,member,250993,13.33
16,casual,185784,21.86
16,member,344691,13.48
17,casual,197571,20.89
17,member,393463,13.71
18,casual,167733,20.61
18,member,302876,13.35
19,casual,122889,20.23
19,member,210296,13.19
20,casual,89615,19.82
20,member,146957,13
21,casual,74257,19.01
21,member,112813,12.87
22,casual,64665,19.21
22,member,81400,13.17
23,casual,45320,19.29
23,member,51053,12.98
