ride_length_bin,member_casual,count
"[0,5)",casual,200384
"[0,5)",member,601821
"[5,10)",casual,583377
"[5,10)",member,1339803
"[10,15)",casual,400863
"[10,15)",member,751999
"[15,20)",casual,248315
"[15,20)",member,394280
"[20,25)",casual,161909
"[20,25)",member,220660
"[25,30)",casual,108265
"[25,30)",member,128998
"[30,35)",casual,74499
"[30,35)",member,79358
"[35,40)",casual,54307
"[35,40)",member,51689
"[40,45)",casual,40728
"[40,45)",member,33419
"[45,50)",casual,32600
"[45,50)",member,18211
"[50,55)",casual,25505
"[50,55)",member,10496
"[55,60)",casual,20487
"[55,60)",member,6888
"[60,65)",casual,16987
"[60,65)",member,4499
"[65,70)",casual,14048
"[65,70)",member,3200
"[70,75)",casual,11693
"[70,75)",member,2380
"[75,80)",casual,10026
"[75,80)",member,1861
"[80,85)",casual,8220
"[80,85)",member,1447
"[85,90]",casual,7570
"[85,90]",member,1184
