period,member_casual,total_rides,avg_ride_length
2023-11-26T00:00:00Z,casual,3661,14.37
2023-11-26T00:00:00Z,member,10013,12.12
2023-12-03T00:00:00Z,casual,14763,15.13
2023-12-03T00:00:00Z,member,49973,11.58
2023-12-10T00:00:00Z,casual,12053,13.59
2023-12-10T00:00:00Z,member,43612,11.22
2023-12-17T00:00:00Z,casual,9521,14.54
2023-12-17T00:00:00Z,member,33335,11.29
2023-12-24T00:00:00Z,casual,7752,19.7
2023-12-24T00:00:00Z,member,20193,12.18
2023-12-31T00:00:00Z,casual,7768,16.19
2023-12-31T00:00:00Z,member,28671,11.17
2024-01-07T00:00:00Z,casual,5343,12.29
2024-01-07T00:00:00Z,member,27518,11.02
2024-01-14T00:00:00Z,casual,1787,20.98
2024-01-14T00:00:00Z,member,11184,19.04
2024-01-21T00:00:00Z,casual,4554,13.46
2024-01-21T00:00:00Z,member,23164,12.37
2024-01-28T00:00:00Z,casual,8132,16.37
2024-01-28T00:00:00Z,member,35872,12.34
2024-02-04T00:00:00Z,casual,10199,18.7
2024-02-04T00:00:00Z,member,38424,12.73
2024-02-11T00:00:00Z,casual,8092,14.97
2024-02-11T00:00:00Z,member,34846,11.67
2024-02-18T00:00:00Z,casual,11347,18.86
2024-02-18T00:00:00Z,member,40698,12.32
2024-02-25T00:00:00Z,casual,17046,22.81
2024-02-25T00:00:00Z,member,47687,12.96
2024-03-03T00:00:00Z,casual,17644,22.42
2024-03-03T00:00:00Z,member,45760,12.28
2024-03-10T00:00:00Z,casual,23571,21.1
2024-03-10T00:00:00Z,member,52655,12.48
2024-03-17T00:00:00Z,casual,11729,15.64
2024-03-17T00:00:00Z,member,40826,11.11
2024-03-24T00:00:00Z,casual,17065,20.31
2024-03-24T00:00:00Z,member,46670,11.51
2024-03-31T00:00:00Z,casual,13588,18.37
2024-03-31T00:00:00Z,member,38804,11.18
2024-04-07T00:00:00Z,casual,30085,23.39
2024-04-07T00:00:00Z,member,62618,12.85
2024-04-14T00:00:00Z,casual,35011,23.26
2024-04-14T00:00:00Z,member,68795,12.87
2024-04-21T00:00:00Z,casual,31859,22.46
2024-04-21T00:00:00Z,member,65774,12.53
2024-04-28T00:00:00Z,casual,41956,24.73
2024-04-28T00:00:00Z,member,76322,13.64
2024-05-05T00:00:00Z,casual,40444,23.22
2024-05-05T00:00:00Z,member,71936,13.22
2024-05-12T00:00:00Z,casual,51470,25.13
2024-05-12T00:00:00Z,member,82598,13.79
2024-05-19T00:00:00Z,casual,60540,25.45
2024-05-19T00:00:00Z,member,89121,14.21
2024-05-26T00:00:00Z,casual,41663,23.59
2024-05-26T00:00:00Z,member,68472,13.46
2024-06-02T00:00:00Z,casual,60930,23.67
2024-06-02T00:00:00Z,member,90826,14.18
2024-06-09T00:00:00Z,casual,69429,24.5
2024-06-09T00:00:00Z,member,93445,14.19
2024-06-16T00:00:00Z,casual,72118,23.64
2024-06-16T00:00:00Z,member,91676,14.11
2024-06-23T00:00:00Z,casual,62628,24.62
2024-06-23T00:00:00Z,member,86425,14.09
2024-06-30T00:00:00Z,casual,78719,27.04
2024-06-30T00:00:00Z,member,83125,14.87
2024-07-07T00:00:00Z,casual,59078,23.41
2024-07-07T00:00:00Z,member,84405,14
2024-07-14T00:00:00Z,casual,68169,23.85
2024-07-14T00:00:00Z,member,92900,13.86
2024-07-21T00:00:00Z,casual,72691,24.9
2024-07-21T00:00:00Z,member,95680,14.34
2024-07-28T00:00:00Z,casual,68857,23.7
2024-07-28T00:00:00Z,member,91077,13.99
2024-08-04T00:00:00Z,casual,70436,24.12
2024-08-04T00:00:00Z,member,92466,13.92
2024-08-11T00:00:00Z,casual,60675,23.45
2024-08-11T00:00:00Z,member,86740,13.84
2024-08-18T00:00:00Z,casual,65525,22.61
2024-08-18T00:00:00Z,member,91755,13.82
2024-08-25T00:00:00Z,casual,64670,22.72
2024-08-25T00:00:00Z,member,91049,13.65
2024-09-01T00:00:00Z,casual,82978,22.08
2024-09-01T00:00:00Z,member,98400,13.34
2024-09-08T00:00:00Z,casual,78904,20.14
2024-09-08T00:00:00Z,member,109064,12.95
2024-09-15T00:00:00Z,casual,83402,19.79
2024-09-15T00:00:00Z,member,110765,13.01
2024-09-22T00:00:00Z,casual,54665,17.08
2024-09-22T00:00:00Z,member,88227,12.18
2024-09-29T00:00:00Z,casual,55930,20.2
2024-09-29T00:00:00Z,member,93405,12.64
2024-10-06T00:00:00Z,casual,56098,21.76
2024-10-06T00:00:00Z,member,89375,12.8
2024-10-13T00:00:00Z,casual,45528,23.26
2024-10-13T00:00:00Z,member,71117,12.52
2024-10-20T00:00:00Z,casual,40142,20.48
2024-10-20T00:00:00Z,member,79609,12.83
2024-10-27T00:00:00Z,casual,32629,18.73
2024-10-27T00:00:00Z,member,73657,12.25
2024-11-03T00:00:00Z,casual,24447,16.4
2024-11-03T00:00:00Z,member,61713,11.57
2024-11-10T00:00:00Z,casual,23594,16.95
2024-11-10T00:00:00Z,member,60728,11.94
2024-11-17T00:00:00Z,casual,17895,16.73
2024-11-17T00:00:00Z,member,48661,11.72
2024-11-24T00:00:00Z,casual,9750,16.84
2024-11-24T00:00:00Z,member,27814,11.86
2024-12-01T00:00:00Z,casual,8140,12.22
2024-12-01T00:00:00Z,member,33319,10.89
2024-12-08T00:00:00Z,casual,9520,14.16
2024-12-08T00:00:00Z,member,35333,11.27
2024-12-15T00:00:00Z,casual,7679,13.42
2024-12-15T00:00:00Z,member,31569,11.44
2024-12-22T00:00:00Z,casual,6658,18.19
2024-12-22T00:00:00Z,member,16599,13.04
2024-12-29T00:00:00Z,casual,6075,16.65
2024-12-29T00:00:00Z,member,17666,11.66
2025-01-05T00:00:00Z,casual,4084,11.45
2025-01-05T00:00:00Z,member,22695,10.65
2025-01-12T00:00:00Z,casual,5120,12.75
2025-01-12T00:00:00Z,member,24203,10.7
2025-01-19T00:00:00Z,casual,3202,12.74
2025-01-19T00:00:00Z,member,15278,11.11
2025-01-26T00:00:00Z,casual,5795,12.72
2025-01-26T00:00:00Z,member,27463,11.19
