week_start,day_of_week,member_casual,total_rides,avg_ride_length
2023-11-26,Friday,casual,1098,12.39
2023-11-26,Friday,member,3798,11.57
2023-11-26,Saturday,casual,2444,14.96
2023-11-26,Saturday,member,5983,11.43
2023-12-03,Sunday,casual,1405,12.48
2023-12-03,Sunday,member,4100,10.99
2023-12-03,Monday,casual,1618,12.32
2023-12-03,Monday,member,7299,10.38
2023-12-03,Tuesday,casual,1232,10.25
2023-12-03,Tuesday,member,5920,10.27
2023-12-03,Wednesday,casual,1781,11
2023-12-03,Wednesday,member,7733,10.76
2023-12-03,Thursday,casual,2454,15.39
2023-12-03,Thursday,member,9165,11.43
2023-12-03,Friday,casual,3107,16.18
2023-12-03,Friday,member,8889,11.5
2023-12-03,Saturday,casual,2772,18.36
2023-12-03,Saturday,member,6095,11.67
2023-12-10,Sunday,casual,1663,14.57
2023-12-10,Sunday,member,4040,11.56
2023-12-10,Monday,casual,1364,11.02
2023-12-10,Monday,member,6337,10.35
2023-12-10,Tuesday,casual,1453,12.13
2023-12-10,Tuesday,member,7198,10.54
2023-12-10,Wednesday,casual,1595,11.95
2023-12-10,Wednesday,member,7292,10.67
2023-12-10,Thursday,casual,2148,12.57
2023-12-10,Thursday,member,8009,11.17
2023-12-10,Friday,casual,2591,14.27
2023-12-10,Friday,member,7598,11.3
2023-12-10,Saturday,casual,963,12.94
2023-12-10,Saturday,member,2583,11.93
2023-12-17,Sunday,casual,1573,16.99
2023-12-17,Sunday,member,4057,11.33
2023-12-17,Monday,casual,1001,11.48
2023-12-17,Monday,member,4951,9.91
2023-12-17,Tuesday,casual,1157,11.36
2023-12-17,Tuesday,member,5295,10.62
2023-12-17,Wednesday,casual,1592,14.17
2023-12-17,Wednesday,member,6328,11.12
2023-12-17,Thursday,casual,1727,13.33
2023-12-17,Thursday,member,6135,10.81
2023-12-17,Friday,casual,945,14.35
2023-12-17,Friday,member,3040,11.77
2023-12-17,Saturday,casual,1292,16.23
2023-12-17,Saturday,member,3080,12.21
2023-12-24,Sunday,casual,1275,22.14
2023-12-24,Sunday,member,2506,13.27
2023-12-24,Monday,casual,606,25.19
2023-12-24,Monday,member,1032,14.68
2023-12-24,Tuesday,casual,1045,16.91
2023-12-24,Tuesday,member,2881,11.28
2023-12-24,Wednesday,casual,1467,17.53
2023-12-24,Wednesday,member,3978,10.94
2023-12-24,Thursday,casual,702,16.35
2023-12-24,Thursday,member,2792,10.57
2023-12-24,Friday,casual,1039,14.92
2023-12-24,Friday,member,3367,11.13
2023-12-24,Saturday,casual,1297,16.5
2023-12-24,Saturday,member,3219,11.41
2023-12-31,Sunday,casual,834,24.17
2023-12-31,Sunday,member,1849,13.46
2023-12-31,Monday,casual,1043,23.17
2023-12-31,Monday,member,2220,12.3
2023-12-31,Tuesday,casual,1043,12.65
2023-12-31,Tuesday,member,4854,10.04
2023-12-31,Wednesday,casual,1204,12.96
2023-12-31,Wednesday,member,5569,10.95
2023-12-31,Thursday,casual,1369,14.96
2023-12-31,Thursday,member,5963,10.34
2023-12-31,Friday,casual,1399,11.92
2023-12-31,Friday,member,5289,10.3
2023-12-31,Saturday,casual,663,12.66
2023-12-31,Saturday,member,2561,11.74
2024-01-07,Sunday,casual,826,12.91
2024-01-07,Sunday,member,3155,10.94
2024-01-07,Monday,casual,1109,12.54
2024-01-07,Monday,member,6169,10.51
2024-01-07,Tuesday,casual,397,10.57
2024-01-07,Tuesday,member,2555,10.44
2024-01-07,Wednesday,casual,1014,12.5
2024-01-07,Wednesday,member,6128,10.2
2024-01-07,Thursday,casual,1248,10.57
2024-01-07,Thursday,member,6355,10.41
2024-01-07,Friday,casual,357,12.94
2024-01-07,Friday,member,1490,10.69
2024-01-07,Saturday,casual,285,11.7
2024-01-07,Saturday,member,1348,10.97
2024-01-14,Sunday,casual,66,16.77
2024-01-14,Sunday,member,425,10.44
2024-01-14,Monday,casual,51,17.06
2024-01-14,Monday,member,577,13.42
2024-01-14,Tuesday,casual,112,18.46
2024-01-14,Tuesday,member,824,15.75
2024-01-14,Wednesday,casual,309,27.31
2024-01-14,Wednesday,member,2110,21.32
2024-01-14,Thursday,casual,543,14.09
2024-01-14,Thursday,member,3377,11.69
2024-01-14,Friday,casual,316,17.2
2024-01-14,Friday,member,1994,12.23
2024-01-14,Saturday,casual,346,11.64
2024-01-14,Saturday,member,1643,13.99
2024-01-21,Sunday,casual,302,10.7
2024-01-21,Sunday,member,1449,13.87
2024-01-21,Monday,casual,504,12.1
2024-01-21,Monday,member,3425,12.35
2024-01-21,Tuesday,casual,524,11.19
2024-01-21,Tuesday,member,2963,11.93
2024-01-21,Wednesday,casual,565,11.65
2024-01-21,Wednesday,member,3821,10.11
2024-01-21,Thursday,casual,833,11.39
2024-01-21,Thursday,member,4634,10.46
2024-01-21,Friday,casual,755,14.37
2024-01-21,Friday,member,3515,11.05
2024-01-21,Saturday,casual,981,15.57
2024-01-21,Saturday,member,3055,11.83
2024-01-28,Sunday,casual,938,15.18
2024-01-28,Sunday,member,2964,10.89
2024-01-28,Monday,casual,960,13.41
2024-01-28,Monday,member,5371,10.85
2024-01-28,Tuesday,casual,1049,13.38
2024-01-28,Tuesday,member,5906,11.24
2024-01-28,Wednesday,casual,1072,13.43
2024-01-28,Wednesday,member,6165,11.33
2024-01-28,Thursday,casual,1402,13.63
2024-01-28,Thursday,member,6547,11.62
2024-01-28,Friday,casual,1238,18.6
2024-01-28,Friday,member,4851,12.02
