ride_date,season,hour_of_day,member_casual,total_rides,avg_ride_length
2023-12-01,Winter,1,casual,77,10.57
2023-12-01,Winter,1,member,283,10.99
2023-12-01,Winter,2,casual,90,10.11
2023-12-01,Winter,2,member,303,10.97
2023-12-01,Winter,3,casual,80,15.62
2023-12-01,Winter,3,member,300,11.87
2023-12-01,Winter,4,casual,94,13.18
2023-12-01,Winter,4,member,402,10.94
2023-12-01,Winter,5,casual,94,11.23
2023-12-01,Winter,5,member,358,12.53
2023-12-01,Winter,6,casual,122,10.38
2023-12-01,Winter,6,member,397,10.83
2023-12-01,Winter,7,casual,103,12.99
2023-12-01,Winter,7,member,364,10.55
2023-12-01,Winter,8,casual,84,10.74
2023-12-01,Winter,8,member,338,9.73
2023-12-01,Winter,9,casual,80,11.18
2023-12-01,Winter,9,member,283,23.91
2023-12-01,Winter,10,casual,77,10.73
2023-12-01,Winter,10,member,224,10.29
2023-12-01,Winter,11,casual,99,21.81
2023-12-01,Winter,11,member,287,9.21
2023-12-01,Winter,12,casual,98,9.65
2023-12-01,Winter,12,member,259,7.41
2023-12-02,Winter,1,casual,256,15.23
2023-12-02,Winter,1,member,568,11.43
2023-12-02,Winter,2,casual,254,18.57
2023-12-02,Winter,2,member,543,11.48
2023-12-02,Winter,3,casual,209,14.23
2023-12-02,Winter,3,member,507,12.94
2023-12-02,Winter,4,casual,196,12.63
2023-12-02,Winter,4,member,494,12.05
2023-12-02,Winter,5,casual,158,12.65
2023-12-02,Winter,5,member,441,12.2
2023-12-02,Winter,6,casual,171,13.7
2023-12-02,Winter,6,member,446,10.59
2023-12-02,Winter,7,casual,148,10.22
2023-12-02,Winter,7,member,407,11.74
2023-12-02,Winter,8,casual,172,15.26
2023-12-02,Winter,8,member,414,10.77
2023-12-02,Winter,9,casual,220,14.01
2023-12-02,Winter,9,member,500,11.08
2023-12-02,Winter,10,casual,217,18.55
2023-12-02,Winter,10,member,580,11.06
2023-12-02,Winter,11,casual,242,13.34
2023-12-02,Winter,11,member,614,11.98
2023-12-02,Winter,12,casual,201,18.38
2023-12-02,Winter,12,member,469,9.63
2023-12-03,Winter,1,casual,161,12.09
2023-12-03,Winter,1,member,427,10.05
2023-12-03,Winter,2,casual,143,15.26
2023-12-03,Winter,2,member,397,12.18
2023-12-03,Winter,3,casual,114,12.52
2023-12-03,Winter,3,member,407,10.27
2023-12-03,Winter,4,casual,148,16.74
2023-12-03,Winter,4,member,347,12.2
2023-12-03,Winter,5,casual,80,12.8
2023-12-03,Winter,5,member,329,15.17
2023-12-03,Winter,6,casual,79,9.06
2023-12-03,Winter,6,member,326,10.4
2023-12-03,Winter,7,casual,90,10.58
2023-12-03,Winter,7,member,258,10.1
2023-12-03,Winter,8,casual,67,13.34
2023-12-03,Winter,8,member,257,10.62
2023-12-03,Winter,9,casual,87,8.97
2023-12-03,Winter,9,member,268,10.4
2023-12-03,Winter,10,casual,114,14.8
2023-12-03,Winter,10,member,309,10.32
2023-12-03,Winter,11,casual,133,12.19
2023-12-03,Winter,11,member,389,10.93
2023-12-03,Winter,12,casual,189,9.64
2023-12-03,Winter,12,member,386,9.25
2023-12-04,Winter,1,casual,94,18.31
2023-12-04,Winter,1,member,356,10.46
2023-12-04,Winter,2,casual,98,18.11
2023-12-04,Winter,2,member,324,9.15
2023-12-04,Winter,3,casual,130,13.12
2023-12-04,Winter,3,member,532,11.02
2023-12-04,Winter,4,casual,143,11.88
2023-12-04,Winter,4,member,775,11.28
2023-12-04,Winter,5,casual,179,11.72
2023-12-04,Winter,5,member,964,10.94
2023-12-04,Winter,6,casual,164,9.31
2023-12-04,Winter,6,member,923,10.19
2023-12-04,Winter,7,casual,191,11.39
2023-12-04,Winter,7,member,886,9.94
2023-12-04,Winter,8,casual,173,9.97
2023-12-04,Winter,8,member,951,10.83
2023-12-04,Winter,9,casual,136,10.96
2023-12-04,Winter,9,member,549,9.69
2023-12-04,Winter,10,casual,111,10.2
2023-12-04,Winter,10,member,402,9.7
2023-12-04,Winter,11,casual,113,12.23
2023-12-04,Winter,11,member,340,11.51
2023-12-04,Winter,12,casual,86,17.45
2023-12-04,Winter,12,member,297,7.65
2023-12-05,Winter,1,casual,79,14.06
2023-12-05,Winter,1,member,334,10.59
2023-12-05,Winter,2,casual,73,9.96
2023-12-05,Winter,2,member,300,9.62
2023-12-05,Winter,3,casual,87,11.86
2023-12-05,Winter,3,member,370,11.36
2023-12-05,Winter,4,casual,121,11.02
2023-12-05,Winter,4,member,622,10.88
2023-12-05,Winter,5,casual,142,10.11
2023-12-05,Winter,5,member,739,11.31
2023-12-05,Winter,6,casual,107,9.29
2023-12-05,Winter,6,member,628,10.84
2023-12-05,Winter,7,casual,120,9.84
2023-12-05,Winter,7,member,727,10.26
2023-12-05,Winter,8,casual,137,8.91
2023-12-05,Winter,8,member,745,10.01
2023-12-05,Winter,9,casual,100,12.46
2023-12-05,Winter,9,member,479,9.42
2023-12-05,Winter,10,casual,87,9.41
2023-12-05,Winter,10,member,338,9.45
2023-12-05,Winter,11,casual,98,8.88
2023-12-05,Winter,11,member,326,9.67
2023-12-05,Winter,12,casual,81,8.2
2023-12-05,Winter,12,member,312,7.87
2023-12-06,Winter,1,casual,111,15.41
2023-12-06,Winter,1,member,372,10.08
2023-12-06,Winter,2,casual,107,12.07
2023-12-06,Winter,2,member,381,10.16
2023-12-06,Winter,3,casual,134,11.6
2023-12-06,Winter,3,member,470,10.53
2023-12-06,Winter,4,casual,193,9.64
2023-12-06,Winter,4,member,786,10.55
2023-12-06,Winter,5,casual,221,10.23
2023-12-06,Winter,5,member,1011,11.3
2023-12-06,Winter,6,casual,188,9.54
2023-12-06,Winter,6,member,918,10
2023-12-06,Winter,7,casual,217,9.54
2023-12-06,Winter,7,member,995,12.12
2023-12-06,Winter,8,casual,208,7.5
2023-12-06,Winter,8,member,1045,10.65
2023-12-06,Winter,9,casual,142,10.35
2023-12-06,Winter,9,member,649,12.3
2023-12-06,Winter,10,casual,87,12.25
2023-12-06,Winter,10,member,407,9.93
2023-12-06,Winter,11,casual,92,24.1
2023-12-06,Winter,11,member,367,9.42
2023-12-06,Winter,12,casual,81,9.1
2023-12-06,Winter,12,member,332,9.35
2023-12-07,Winter,1,casual,148,14.52
2023-12-07,Winter,1,member,488,11.12
2023-12-07,Winter,2,casual,152,20.39
2023-12-07,Winter,2,member,469,11.67
2023-12-07,Winter,3,casual,187,15.45
2023-12-07,Winter,3,member,636,10.71
2023-12-07,Winter,4,casual,246,12.27
2023-12-07,Winter,4,member,996,12.3
2023-12-07,Winter,5,casual,324,10.52
2023-12-07,Winter,5,member,1124,12.04
2023-12-07,Winter,6,casual,256,13.04
2023-12-07,Winter,6,member,1049,11.46
2023-12-07,Winter,7,casual,264,15.82
2023-12-07,Winter,7,member,1150,11.65
2023-12-07,Winter,8,casual,245,16.47
2023-12-07,Winter,8,member,1186,10.99
2023-12-07,Winter,9,casual,175,11.69
2023-12-07,Winter,9,member,698,10.24
2023-12-07,Winter,10,casual,175,12
2023-12-07,Winter,10,member,533,10.48
2023-12-07,Winter,11,casual,153,28.56
2023-12-07,Winter,11,member,442,14.66
2023-12-07,Winter,12,casual,129,24.38
2023-12-07,Winter,12,member,394,9.02
2023-12-08,Winter,1,casual,197,15.66
2023-12-08,Winter,1,member,555,10.69
2023-12-08,Winter,2,casual,216,17.5
2023-12-08,Winter,2,member,595,11.68
2023-12-08,Winter,3,casual,276,15.59
2023-12-08,Winter,3,member,792,11.98
2023-12-08,Winter,4,casual,317,14.87
2023-12-08,Winter,4,member,939,11.26
2023-12-08,Winter,5,casual,314,14.8
2023-12-08,Winter,5,member,924,12.1
2023-12-08,Winter,6,casual,328,13.07
2023-12-08,Winter,6,member,969,12.72
2023-12-08,Winter,7,casual,272,18.9
2023-12-08,Winter,7,member,1010,12.38
2023-12-08,Winter,8,casual,299,12.99
2023-12-08,Winter,8,member,911,10.98
2023-12-08,Winter,9,casual,217,17.29
2023-12-08,Winter,9,member,612,10.18
2023-12-08,Winter,10,casual,261,18.06
2023-12-08,Winter,10,member,539,10.66
2023-12-08,Winter,11,casual,225,12.12
2023-12-08,Winter,11,member,599,12.11
2023-12-08,Winter,12,casual,185,28.37
2023-12-08,Winter,12,member,444,8.99
