period,member_casual,total_rides,avg_ride_length
2023-12-01T00:00:00Z,casual,47240,14.78
2023-12-01T00:00:00Z,member,156549,11.13
2024-01-01T00:00:00Z,casual,22183,13.69
2024-01-01T00:00:00Z,member,107874,11.24
2024-02-01T00:00:00Z,casual,43331,17.56
2024-02-01T00:00:00Z,member,161484,11.86
2024-03-01T00:00:00Z,casual,75251,19.08
2024-03-01T00:00:00Z,member,199880,11.67
2024-04-01T00:00:00Z,casual,119459,21.37
2024-04-01T00:00:00Z,member,258465,12.28
2024-05-01T00:00:00Z,casual,209300,23.3
2024-05-01T00:00:00Z,member,348311,13.41
2024-06-01T00:00:00Z,casual,269631,23.02
2024-06-01T00:00:00Z,member,371381,13.94
2024-07-01T00:00:00Z,casual,287664,23.44
2024-07-01T00:00:00Z,member,388842,13.82
2024-08-01T00:00:00Z,casual,285212,22.07
2024-08-01T00:00:00Z,member,395751,13.57
2024-09-01T00:00:00Z,casual,308400,19.17
2024-09-01T00:00:00Z,member,425801,12.67
2024-10-01T00:00:00Z,casual,194297,19.57
2024-10-01T00:00:00Z,member,358471,12.31
2024-11-01T00:00:00Z,casual,83015,16.02
2024-11-01T00:00:00Z,member,213691,11.47
2024-12-01T00:00:00Z,casual,33918,13.82
2024-12-01T00:00:00Z,member,122426,11.1
2025-01-01T00:00:00Z,casual,20977,12
2025-01-01T00:00:00Z,member,98815,10.54
