member_casual,station_name,lat,lng,ride_count
casual,Streeter Dr & Grand Ave,41.892278,-87.612043,87990
casual,DuSable Lake Shore Dr & Monroe St,41.880958,-87.616743,53959
casual,DuSable Lake Shore Dr & North Blvd,41.911722,-87.626804,41664
casual,Michigan Ave & Oak St,41.90096039,-87.62377664,41077
casual,Millennium Park,41.8810317,-87.62408432,38029
casual,Shedd Aquarium,41.86722596,-87.61535539,33384
casual,Dusable Harbor,41.886976,-87.612813,28748
casual,Theater on the Lake,41.926277,-87.630834,28476
casual,Michigan Ave & 8th St,41.872773,-87.623981,21192
casual,Adler Planetarium,41.866095,-87.607267,19830
member,Kingsbury St & Kinzie St,41.88917683,-87.63850577,49186
member,Clinton St & Washington Blvd,41.88338,-87.64117,46434
member,Clark St & Elm St,41.902973,-87.63128,41438
member,Clinton St & Madison St,41.88275197,-87.64119029,41006
member,Clinton St & Jackson Blvd,41.87831661,-87.64098108,33368
member,Wells St & Concord Ln,41.912133,-87.634656,33341
member,Wells St & Elm St,41.903222,-87.634324,32548
member,Canal St & Madison St,41.882409,-87.639767,32022
member,State St & Chicago Ave,41.8966172,-87.62857854,31974
member,University Ave & 57th St,41.791478,-87.599861,31894
