period,member_casual,total_rides,avg_ride_length
2023-11-26T00:00:00Z,casual,3542,14.16
2023-11-26T00:00:00Z,member,9781,11.49
2023-12-03T00:00:00Z,casual,14369,14.52
2023-12-03T00:00:00Z,member,49201,11.03
2023-12-10T00:00:00Z,casual,11777,12.94
2023-12-10T00:00:00Z,member,43057,10.97
2023-12-17T00:00:00Z,casual,9287,14.16
2023-12-17T00:00:00Z,member,32886,10.99
2023-12-24T00:00:00Z,casual,7431,18.2
2023-12-24T00:00:00Z,member,19775,11.54
2023-12-31T00:00:00Z,casual,7555,15.71
2023-12-31T00:00:00Z,member,28305,10.89
2024-01-07T00:00:00Z,casual,5236,11.95
2024-01-07T00:00:00Z,member,27200,10.49
2024-01-14T00:00:00Z,casual,1743,16.98
2024-01-14T00:00:00Z,member,10950,14.34
2024-01-21T00:00:00Z,casual,4464,12.86
2024-01-21T00:00:00Z,member,22862,11.36
2024-01-28T00:00:00Z,casual,7924,15.37
2024-01-28T00:00:00Z,member,35397,11.7
2024-02-04T00:00:00Z,casual,9902,16.75
2024-02-04T00:00:00Z,member,37841,11.86
2024-02-11T00:00:00Z,casual,7901,14.48
2024-02-11T00:00:00Z,member,34437,11.22
2024-02-18T00:00:00Z,casual,11007,17.64
2024-02-18T00:00:00Z,member,40159,11.85
2024-02-25T00:00:00Z,casual,16445,20.92
2024-02-25T00:00:00Z,member,46911,12.3
2024-03-03T00:00:00Z,casual,16925,20.47
2024-03-03T00:00:00Z,member,45108,11.99
2024-03-10T00:00:00Z,casual,22820,19.78
2024-03-10T00:00:00Z,member,51963,12.16
2024-03-17T00:00:00Z,casual,11434,15.19
2024-03-17T00:00:00Z,member,40337,10.87
2024-03-24T00:00:00Z,casual,16414,18.38
2024-03-24T00:00:00Z,member,46010,11.28
2024-03-31T00:00:00Z,casual,13161,17.77
2024-03-31T00:00:00Z,member,38292,11.02
2024-04-07T00:00:00Z,casual,28975,22.08
2024-04-07T00:00:00Z,member,61624,12.53
2024-04-14T00:00:00Z,casual,33587,21.88
2024-04-14T00:00:00Z,member,67647,12.51
2024-04-21T00:00:00Z,casual,30683,21.28
2024-04-21T00:00:00Z,member,64804,12.21
2024-04-28T00:00:00Z,casual,40232,22.91
2024-04-28T00:00:00Z,member,75104,13.22
2024-05-05T00:00:00Z,casual,39024,22.1
2024-05-05T00:00:00Z,member,70894,13
2024-05-12T00:00:00Z,casual,49332,23.7
2024-05-12T00:00:00Z,member,81213,13.47
2024-05-19T00:00:00Z,casual,58192,24.09
2024-05-19T00:00:00Z,member,87700,13.81
2024-05-26T00:00:00Z,casual,40217,22.55
2024-05-26T00:00:00Z,member,67409,13.24
2024-06-02T00:00:00Z,casual,58570,22.31
2024-06-02T00:00:00Z,member,89319,13.98
2024-06-09T00:00:00Z,casual,66698,23.2
2024-06-09T00:00:00Z,member,91877,13.93
2024-06-16T00:00:00Z,casual,69378,22.51
2024-06-16T00:00:00Z,member,90151,13.86
2024-06-23T00:00:00Z,casual,60382,23.66
2024-06-23T00:00:00Z,member,84920,13.85
2024-06-30T00:00:00Z,casual,75209,25.48
2024-06-30T00:00:00Z,member,81533,14.59
2024-07-07T00:00:00Z,casual,56777,22.25
2024-07-07T00:00:00Z,member,82960,13.66
2024-07-14T00:00:00Z,casual,65772,22.61
2024-07-14T00:00:00Z,member,91461,13.57
2024-07-21T00:00:00Z,casual,69708,23.62
2024-07-21T00:00:00Z,member,93978,13.89
2024-07-28T00:00:00Z,casual,66535,22.7
2024-07-28T00:00:00Z,member,89596,13.7
2024-08-04T00:00:00Z,casual,67507,22.97
2024-08-04T00:00:00Z,member,90859,13.76
2024-08-11T00:00:00Z,casual,58090,21.82
2024-08-11T00:00:00Z,member,85313,13.58
2024-08-18T00:00:00Z,casual,62965,21.5
2024-08-18T00:00:00Z,member,90137,13.49
2024-08-25T00:00:00Z,casual,62101,21.75
2024-08-25T00:00:00Z,member,89566,13.28
2024-09-01T00:00:00Z,casual,79889,20.89
2024-09-01T00:00:00Z,member,96765,13.08
2024-09-08T00:00:00Z,casual,76373,18.8
2024-09-08T00:00:00Z,member,107586,12.7
2024-09-15T00:00:00Z,casual,80612,19.39
2024-09-15T00:00:00Z,member,109126,12.81
2024-09-22T00:00:00Z,casual,53223,16.54
2024-09-22T00:00:00Z,member,87069,12.02
2024-09-29T00:00:00Z,casual,54100,19.1
2024-09-29T00:00:00Z,member,92165,12.46
2024-10-06T00:00:00Z,casual,53983,20.38
2024-10-06T00:00:00Z,member,88046,12.52
2024-10-13T00:00:00Z,casual,43663,21.14
2024-10-13T00:00:00Z,member,69988,12.1
2024-10-20T00:00:00Z,casual,38804,19.15
2024-10-20T00:00:00Z,member,78392,12.4
2024-10-27T00:00:00Z,casual,31566,17.54
2024-10-27T00:00:00Z,member,72693,12.04
2024-11-03T00:00:00Z,casual,23707,15.3
2024-11-03T00:00:00Z,member,60843,11.35
2024-11-10T00:00:00Z,casual,22875,15.65
2024-11-10T00:00:00Z,member,59852,11.5
2024-11-17T00:00:00Z,casual,17482,15.88
2024-11-17T00:00:00Z,member,48027,11.23
2024-11-24T00:00:00Z,casual,9435,15.4
2024-11-24T00:00:00Z,member,27411,11.66
2024-12-01T00:00:00Z,casual,7978,11.16
2024-12-01T00:00:00Z,member,32981,10.59
2024-12-08T00:00:00Z,casual,9305,13.87
2024-12-08T00:00:00Z,member,34872,10.98
2024-12-15T00:00:00Z,casual,7499,12.6
2024-12-15T00:00:00Z,member,31184,10.98
2024-12-22T00:00:00Z,casual,6442,17.23
2024-12-22T00:00:00Z,member,16268,12.4
2024-12-29T00:00:00Z,casual,5810,15.09
2024-12-29T00:00:00Z,member,17362,10.98
2025-01-05T00:00:00Z,casual,4019,10.99
2025-01-05T00:00:00Z,member,22431,10.28
2025-01-12T00:00:00Z,casual,5010,11.52
2025-01-12T00:00:00Z,member,23916,10.37
2025-01-19T00:00:00Z,casual,3133,12.15
2025-01-19T00:00:00Z,member,15028,10.97
2025-01-26T00:00:00Z,casual,5699,12.17
2025-01-26T00:00:00Z,member,27199,10.65
